bloco;y;x;id;vulgar;cient;familia;nome;classif;c7;c10;c13;c16;coordx;coordy;fuste7;fuste10;fuste13;st7;st10;st13;fito7;fito10;fito13;copa7;copa10;copa13;obs
I5;41,3;29,8;I5/71B;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;38,09999999;40,70000001;43,00000001;46,3;677179,8;7184341,3;3;3;2;1;1;2;3;3;3;2;2;3;
B4;7;33,3;B4/9C;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;32,5;35,19999999;37,6;38,3;676833,3;7184257;1;;;3;;1;3;;25;3;;2;
E5;30,5;3,5;E5/13A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;37,80000001;37,80000001;38,3;39,1;676953,5;7184330,5;2;2;;2;2;2;3;5;35;3;2;3;
A6;6,7;20;A6/135A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;32,70000001;35,89999999;39,20000001;676770;7184356,7;;3;;;2;2;;3;3;;3;3;
F3;19,9;46,5;F3/129A;Pitangueira;Eugenia uniflora L.;Myrtaceae;Euguni;C;104,6;107;110;;677046,5;7184219,9;3;3;;1;2;;2;15;4;2;1;;
F4;50;46;F4/143A;vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;;;31,8;31,8;677046;7184300;;;4;;;1;;;3;;;1;
A6;41,8;44;A6/39A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;43,89999999;46,3;48,00000001;49,9;676794;7184391,8;1;2;;2;2;1;3;3;3;3;3;3;
C3;37;37;C3/45A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;46,50000001;46,50000001;46,79999999;47,30000001;676887;7184237;1;2;;3;1;2;3;5;3;2;2;3;
H7;26,9;42,5;H7/146B;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;80,70000002;81,30000001;81,30000001;79,99999999;677142,5;7184426,9;1;1;1;2;2;1;3;2;3;2;2;2;
G2;3,6;33;G2/119A;Escallonia bifida;Escallonia bifida Link & Otto;Escalloniaceae;Escbif;P;31,49999998;31,8;;;677083;7184153,6;42;42;;1;1;;3;3;4;2;3;;
A5;38,6;18;A5/164A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;45,5;45,5;43,4;43,89999999;676768;7184338,6;1;41;;2;1;1;3;3;15;2;2;1;
C5;34,2;43,5;C5/22A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;43,5;48,99999999;55,30000001;61,19999999;676893,5;7184334,2;3;3;;3;2;2;2;3;3;3;3;3;
D3;24,3;48;D3/113A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;63,49999999;66,6;68,39999998;69,19999999;676948;7184224,3;2;41;;2;2;2;2;5;35;2;3;3;
G6;27,5;38,2;G6/132A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;67,3;70,1;71,7;72,00000001;677088,2;7184377,5;2;2;2;3;3;2;3;3;35;3;3;3;
F1;49,2;3;F1/72A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;34,39999999;35,29999999;36,8;39,9;677003;7184149,2;3;3;3;2;3;3;3;2;2;2;2;2;
F2;4,2;13;F2/73A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;60,7;63,49999999;65,50000002;68,20000001;677013;7184154,2;2;2;3;3;2;2;3;3;3;3;3;2;
C7;18,9;17,5;C7/41A;Canela de raposa;Styrax leprosus Hook. & Arn.;Styracaceae;Stylep;Si;36,69999999;37;37;;676867,5;7184418,9;42;41;;1;1;1;3;2;1;1;1;14;
G7;46,5;10,2;G7/46A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;37,80000001;41,2;44,30000001;48,5;677060,2;7184446,5;2;2;2;3;3;2;3;3;3;2;2;3;
H4;5,9;25,5;H4/81A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;36,8;39,9;42,30000001;43,99999999;677125,5;7184255,9;3;3;2;2;2;2;3;3;3;3;3;3;
G6;34,7;9,8;G6/24A;Embauvarana;Oreopanax fulvus Marchal;Araliaceae;Oreful;C;36,69999999;37;37,49999999;37,49999999;677059,8;7184384,7;4;4;43;2;2;1;2;2;35;3;3;3;
G3;34,2;11;G3/39A;Canela;Ocotea bicolor Vattimo-Gil;Lauraceae;Ocobic;St;37,39999999;46,19999999;51,70000001;55,30000001;677061;7184234,2;3;3;2;3;3;2;3;3;3;3;3;3;
H5;2,1;34;H5/148A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;140,3;144,4;146,5;150;677134;7184302,1;3;3;3;3;3;3;3;3;3;2;2;2;
B7;1,5;48,5;B7/56A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;35,99999999;37,10000001;38,89999999;40,00000001;676848,5;7184401,5;2;2;;1;1;2;3;3;2;3;2;3;
D6;0,2;11;D6/65A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;68,49999999;69,70000001;;;676911;7184350,2;2;2;;3;2;;2;2;4;1;1;;
E3;32;45;E3/152A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;34,1;35,5;37,7;37,80000001;676995;7184232;3;3;;2;2;1;3;3;3;3;3;2;
F6;0,8;48,5;F6/250A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;43,29999999;43,5;46,09999999;46,09999999;677048,5;7184350,8;2;2;1;1;2;2;3;3;3;3;3;1;
A7;0,7;42,5;A7/1A;Pimenteira;Cinnamodendron dinisii Schwacke;Canellaceae;Cindin;P;107,1;108,4;108,7;109,6;676792,5;7184400,7;3;3;;3;2;2;3;2;15;3;3;3;
E10;4,5;5,4;E10/3A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;112;121,8;131;138;676955,4;7184554,5;1;41;;3;3;2;3;3;3;3;3;3;
H2;29,9;48;H2/167A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;64,09999999;64,70000001;;;677148;7184179,9;3;;;2;;;2;4;4;2;;;
F2;15,5;10,6;F2/63A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;73,59999999;76;77,80000002;82,00000001;677010,6;7184165,5;2;2;2;2;2;2;3;3;3;2;3;3;
I7;47,9;7,5;I7/30A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;62,79999999;69,4;74,5;82,29999999;677157,5;7184447,9;2;2;2;3;3;3;3;5;35;3;3;3;
D10;1,4;17;D10/17A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;34;34,59999999;34,8;34,90000001;676917;7184551,4;1;41;;1;1;1;2;1;2;1;4;1;
H4;25,4;19,5;H4/205B;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;32,10000001;32,29999999;32,70000001;32,70000001;677119,5;7184275,4;2;2;2;3;3;2;3;3;3;3;3;3;
J3;44,5;2,5;J3/9A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;45,80000001;46,50000001;48,00000001;50,6;677202,5;7184244,5;1;1;2;3;3;2;3;5;3;2;2;2;
G4;16,7;12;G4/66A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;43,4;43,4;43,5;;677062;7184266,7;1;1;1;2;2;2;3;3;3;3;3;3;
I3;11,8;45;I3/70A;Capororoca;Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.;Primulaceae;Myrcor;P;35,80000001;39,1;41,2;41,60000001;677195;7184211,8;1;1;2;3;3;2;3;3;3;2;2;3;
C4;10,5;36,4;C4/173A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;;;;34;676886,4;7184260,5;;;;;;;;;;;;;
E3;49,8;12;E3/25A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;98,79999998;100,8;104;105,4;676962;7184249,8;3;41;;3;2;3;1;5;2;1;3;2;
B4;20;7;B4/95A;Escallonia bifida;Escallonia bifida Link & Otto;Escalloniaceae;Escbif;P;;34,7;;;676807;7184270;;42;;;2;;;3;4;;2;;
A6;10,7;28,5;A6/92B;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;49,9;49,9;;;676778,5;7184360,7;1;;;1;;;1;4;4;1;;;
G7;24,3;23,5;G7/102A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;98,60000001;101,5;105;107,2;677073,5;7184424,3;3;3;3;3;3;3;3;3;3;3;3;3;
H3;21,6;2,5;H3/16A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;224;230;237,2;248;677102,5;7184221,6;3;3;3;3;3;3;3;3;3;3;3;3;
E6;10,7;35;E6/164A;Embira-de-sapo;Dahlstedtia floribunda (Vogel) M.J. Silva & A.M.G. Azevedo;Fabaceae;Dahflo;Si;41,60000001;43,89999999;48,5;51,00000001;676985;7184360,7;2;42;;3;2;2;3;3;3;2;3;3;
D3;38;36;D3/78A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;71,80000001;75,9;80,50000001;82,00000001;676936;7184238;2;2;;3;2;2;2;3;3;2;3;3;
E6;16;11,7;E6/66A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;36,9;38,60000001;40,19999999;40,5;676961,7;7184366;2;2;;2;2;2;3;3;2;2;2;14;
F2;17,9;19,8;F2/165A;Coração de bugre;Maytenus evonymoides Reissek;Celastraceae;Mayevo;St;;31,69999999;33,3;34,30000001;677019,8;7184167,9;;42;42;;1;1;;3;3;;2;3;
D3;49,1;40;D3/64A;Guavirova-de-porco;Campomanesia guaviroba (DC.) Kiaersk.;Myrtaceae;Camgua;St;35,70000001;35,80000001;37,7;39,9;676940;7184249,1;2;2;;2;2;2;2;5;3;2;2;3;
G2;48;3;G2/27A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;81,49999999;81,49999999;;;677053;7184198;1;1;;3;3;;1;4;4;2;2;;
F6;22,6;9;F6/21A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;57,2;61,99999999;63,39999999;66,29999999;677009;7184372,6;3;3;3;2;2;3;3;3;15;3;3;3;
H5;22;28,5;H5/87A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;44,8;46,50000001;46,50000001;49,09999999;677128,5;7184322;2;2;1;1;1;1;3;3;35;2;2;3;
F5;32,1;9,5;F5/152A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;;35,00000001;40,19999999;45,5;677009,5;7184332,1;;41;2;;2;2;;3;5;;3;3;
D6;24,8;42;D6/150A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;44,50000002;47,7;49,50000001;50,10000001;676942;7184374,8;2;3;;2;2;2;3;3;3;2;2;3;
C7;23,7;35;C7/107A;Canela;Ocotea bicolor Vattimo-Gil;Lauraceae;Ocobic;St;35,19999999;37,39999999;;;676885;7184423,7;2;2;;1;1;;3;3;4;2;2;;
H5;30,3;5;H5/20A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;69,29999999;71,20000001;75,09999999;78,2;677105;7184330,3;2;2;43;2;2;2;3;3;35;3;3;3;
E3;25,4;35;E3/123A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;53,39999999;55,90000001;57,59999999;61,39999999;676985;7184225,4;2;4;;3;2;2;3;5;3;3;3;3;
C5;40,3;45,5;C5/25A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;48,10000001;53,70000001;57,9;61,39999999;676895,5;7184340,3;1;3;;3;2;2;3;3;35;3;3;3;
E9;3,1;11,5;E9/38B;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;48,00000001;50,7;53,00000001;57,50000001;676961,5;7184503,1;1;2;;3;2;2;3;3;35;2;2;3;
B3;47;32,5;B3/55A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;47,20000001;47,49999999;48,00000001;48,80000001;676832,5;7184247;1;1;;2;2;2;2;1;2;1;1;2;
F3;12,6;23;F3/74A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;45,00000001;45,99999999;48,5;48,5;677023;7184212,6;41;41;41;1;1;1;3;15;15;1;1;1;
E10;5;24,6;E10/18A;Uva do japão;Hovenia dulcis Thunb.;Rhamnaceae;Hovdul;Exótica;66,00000001;84,49999999;102,2;114,1;676974,6;7184555;3;3;;3;3;3;3;3;3;3;3;3;
F4;33,3;42;F4/105A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;42,30000001;42,39999999;43,5;43,5;677042;7184283,3;3;3;2;2;3;3;3;35;35;3;2;2;
F6;10;23;F6/94A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;36,50000001;38,4;39,9;45,6;677023;7184360;3;3;42;2;3;3;3;3;3;3;3;2;
F1;39,2;16,5;F1/61A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;32,10000001;36,50000001;43,09999999;55,7;677016,5;7184139,2;2;2;2;2;3;2;3;3;3;2;2;2;
G6;34,6;35,8;G6/227A;Coerana;Solanum pseudoquina A.St.-Hil.;Solanaceae;Solpse;P;;;32,00000001;33,4;677085,8;7184384,6;;;2;;;1;;;3;;;2;
F3;8,5;29,8;F3/72A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;56,19999999;56,19999999;57,2;57,2;677029,8;7184208,5;42;42;42;1;2;1;3;35;35;1;1;1;
F8;15,3;49,9;F8/204A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;37,80000001;37,80000001;37,7;37,7;677049,9;7184465,3;2;2;2;2;2;2;3;35;35;3;3;3;
F9;20,9;32;F9/128A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;66,20000001;66,20000001;;;677032;7184520,9;41;41;;2;2;;3;3;4;1;1;;
I5;42,4;46,1;I5/178A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;;;;37,10000001;677196,1;7184342,4;;;;;;;;;;;;;
F2;45;11;F2/184A;Guamirim;Calyptranthes concinna DC.;Myrtaceae;Calcon;C;;;;33,4;677011;7184195;;;;;;;;;;;;;
D3;43,9;5,5;D3/134A;Alfeneiro;Ligustrum lucidum W.T.Aiton;Oleaceae;Ligluc;Exótica;;33,4;34,7;35,99999999;676905,5;7184243,9;;41;;;2;2;;3;3;;3;3;
F6;34;0,5;F6/245A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;38,50000001;40,99999999;40,99999999;42,49999999;677000,5;7184384;3;3;3;2;1;1;3;2;2;2;1;1;
G2;0,5;10,2;G2/56A;Capororoca;Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.;Primulaceae;Myrcor;P;73,40000001;76,39999999;78,59999999;81,7;677060,2;7184150,5;3;3;3;3;3;2;3;3;3;3;3;2;
I5;15,2;45,2;I5/168A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;33,79999999;38,60000001;677195,2;7184315,2;;;2;;;2;;;3;;;3;
J4;33,3;3;J4/32A;Mamica-de-cadela;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;Rutaceae;Zankle;Si;41,2;43,5;45,39999999;47;677203;7184283,3;3;3;43;3;3;2;3;3;3;3;3;3;
F2;33;42,5;F2/154A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;38,50000001;40,99999999;42,20000001;43,09999999;677042,5;7184183;2;2;2;1;2;1;3;3;3;3;2;3;
I7;44,3;16;I7/117A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;57,50000001;65,59999999;73,1;78,40000001;677166;7184444,3;2;2;2;3;3;3;2;5;3;3;3;3;
E9;5,6;37;E9/109A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;43,00000001;45,7;47,90000001;49,50000001;676987;7184505,6;1;2;;3;2;2;1;5;3;3;2;2;
D5;3,1;6;D5/2A;Carvalho-brasileiro;Roupala montana var. brasiliensis (Klotzsch) K.S.Edwards;Proteaceae;Roumon;St;100,3;102,4;104,7;107,5;676906;7184303,1;2;4;;2;2;2;3;3;35;3;3;3;
G5;18,4;41,5;G5/148A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;51,70000001;55,30000001;58,99999998;63;677091,5;7184318,4;2;2;2;3;3;2;3;3;3;3;3;3;
E3;21,5;35;E3/120A;Mamica-de-cadela;Zanthoxylum petiolare  A.St.-Hil. & Tul.;Rutaceae;Zanpet;Si;74,5;78,50000001;82,00000001;85,99999999;676985;7184221,5;3;2;;3;2;2;3;3;3;3;3;3;
I1;49,5;0,8;I1/13A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;;;;40,19999999;677150,8;7184149,5;;;;;;;;;;;;;
G6;27,5;38,2;G6/132A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;67,3;70,1;71,7;72,00000001;677088,2;7184377,5;2;2;2;3;3;2;3;3;35;3;3;3;
H4;31,8;18,5;H4/45A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;61,39999999;61,39999999;;;677118,5;7184281,8;2;;;1;;;1;4;4;1;;;
G2;36,3;24,5;G2/88A;Pimenteira;Cinnamodendron dinisii Schwacke;Canellaceae;Cindin;P;121,6;122,4;124;125,7;677074,5;7184186,3;3;3;42;3;3;3;3;3;3;3;3;3;
D8;47,1;44,5;D8/148A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;48,80000001;50,30000002;52,49999999;53,00000001;676944,5;7184497,1;2;1;;1;1;1;3;5;2;1;2;2;
G2;19,5;27;G2/77A;Ni;Ni;Ni;Ni;Ni;60,30000001;60,30000001;;;677077;7184169,5;1;;;3;;;3;4;4;3;;;
A5;25,1;38,5;A5/64A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;41,9;42;43,19999999;43,5;676788,5;7184325,1;1;1;;3;1;2;1;3;3;1;1;2;
G6;1,5;42;G6/159A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;60,59999999;67,2;73,69999999;80,4;677092;7184351,5;3;3;3;3;3;3;3;3;3;3;3;3;
A4;5,5;0;A4/145B;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;;;31,49999998;676750;7184255,5;;;;;;;;;;;;;
D7;34,4;3,5;D7/15A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;37,99999998;39,8;40,39999999;40,80000001;676903,5;7184434,4;2;42;;2;2;1;3;2;3;3;2;3;
E4;27,1;35;E4/122A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;44,9;46,60000001;46,60000001;46,60000001;676985;7184277,1;3;2;;2;1;2;3;5;2;2;2;2;
H2;40,6;32,7;H2/209A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;;32,99999999;677132,7;7184190,6;;;;;;;;;;;;;
J4;0,6;0,3;J4/1E;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;44,69999999;44,69999999;44,1;45,7;677200,3;7184250,6;1;1;2;2;2;2;3;3;3;3;3;3;
G1;39,5;21,5;G1/29C;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;55,8;62,50000001;68,17256058;68,49999999;677071,5;7184139,5;2;2;43;2;2;2;3;3;3;1;1;1;
E3;33,7;36;E3/127A;Pitangueira;Eugenia uniflora L.;Myrtaceae;Euguni;C;41,79999999;42;42;42,49999999;676986;7184233,7;2;41;;2;2;2;3;2;3;3;2;3;
C7;36,8;30,5;C7/93A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;74,99999999;77,80000002;80,09999999;81,49999999;676880,5;7184436,8;3;3;;2;2;2;3;3;3;3;3;3;
F6;19,7;38,5;F6/162A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;36,1;38,50000001;43,19999999;45,99999999;677038,5;7184369,7;2;2;2;2;2;2;3;3;5;3;3;3;
D6;13,6;3,5;D6/196A;Cedro;Cedrela fissilis Vell.;Meliaceae;Cedfis;P;58,7;66,5;76,1;85,00000001;676903,5;7184363,6;2;42;;3;2;3;3;3;3;3;3;3;
G7;45,3;5,5;G7/41A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;34,1;36,1;37,29999999;41,40000001;677055,5;7184445,3;2;2;2;1;1;2;3;3;35;2;2;2;
F8;45,8;49,9;F8/292A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;;36,2;677049,9;7184495,8;;;;;;;;;;;;;
G3;14,8;39;G3/184A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;32,5;34,49999999;35,70000001;677089;7184214,8;;2;2;;2;2;;25;35;;1;3;
H3;7;47;H3/191A;Coração de bugre;Maytenus evonymoides Reissek;Celastraceae;Mayevo;St;;;32,5;35,00000001;677147;7184207;;;42;;;1;;;3;;;3;
E5;27,7;48;E5/165A;Canela;Ocotea bicolor Vattimo-Gil;Lauraceae;Ocobic;St;58;62,40000001;69,29999999;79,10000001;676998;7184327,7;2;3;;3;2;2;2;5;35;2;3;2;
H4;50;30,3;H4/107A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;32,70000001;34,39999999;37;40,70000001;677130,3;7184300;1;1;41;2;2;2;3;3;3;2;2;3;
G6;30,7;29,9;G6/94A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;90,80000001;98,4;107,8;118,1;677079,9;7184380,7;3;3;3;3;3;3;3;3;35;3;3;3;
D5;35,2;24;D5/98A;Vassourão preto;Piptocarpha axillaris (Less.) Baker;Asteraceae;Pipaxi;P;35,4;35,70000001;36,3;37,7;676924;7184335,2;1;2;;2;2;2;1;3;35;1;2;2;
G2;36,1;11,8;G2/36A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;178,5;184;187,2;191;677061,8;7184186,1;3;3;3;3;3;3;3;3;3;3;3;3;
H7;15,9;38,2;H7/193A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;;;;33,60000001;677138,2;7184415,9;;;;;;;;;;;;;
H8;27,6;15;H8/41A;Mamica-de-cadela;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;Rutaceae;Zankle;Si;41,3;47,40000002;53,80000001;60,1;677115;7184477,6;3;3;43;3;3;2;2;2;3;3;3;3;
F8;41,5;3,7;F8/37A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;37,29999999;39,8;41,69999999;43,5;677003,7;7184491,5;1;2;42;1;1;1;3;35;3;2;2;3;
F5;45,5;9;F5/171A;Guamirim;Myrceugenia miersiana (Gardner) D.Legrand & Kausel;Myrtaceae;Myrmie;St;;;;32,00000001;677009;7184345,5;;;;;;;;;;;;;
C6;2,1;37;C6/122A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;53,39999999;56,60000001;58;58,6;676887;7184352,1;2;2;;3;2;2;3;3;3;3;2;3;
